Postal Code,District,Area,Province
15011,Ate,Ate_15011,Lima
15012,Ate,Ate_15012,Lima
15023,Ate,Ate_15023,Lima
15479,Ate,Ate_15479,Lima
15483,Ate,Ate_15483,Lima
15487,Ate,Ate_15487,Lima
15491,Ate,Ate_15491,Lima
15494,Ate,Ate_15494,Lima
15498,Ate,Ate_15498,Lima
15063,Barranco,Barranco_15063,Lima
15082,Breña,Breña_15082,Lima
15083,Breña,Breña_15083,Lima
15121,Carabayllo,Carabayllo_15121,Lima
15122,Carabayllo,Carabayllo_15122,Lima
15313,Carabayllo,Carabayllo_15313,Lima
15316,Carabayllo,Carabayllo_15316,Lima
15318,Carabayllo,Carabayllo_15318,Lima
15319,Carabayllo,Carabayllo_15319,Lima
15320,Carabayllo,Carabayllo_15320,Lima
15321,Carabayllo,Carabayllo_15321,Lima
15472,Chaclacayo,Chaclacayo_15472,Lima
15476,Chaclacayo,Chaclacayo_15476,Lima
15057,Chorrillos,Chorrillos_15057,Lima
15064,Chorrillos,Chorrillos_15064,Lima
15066,Chorrillos,Chorrillos_15066,Lima
15067,Chorrillos,Chorrillos_15067,Lima
15594,Cieneguilla,Cieneguilla_15594,Lima
15311,Comas,Comas_15311,Lima
15312,Comas,Comas_15312,Lima
15314,Comas,Comas_15314,Lima
15324,Comas,Comas_15324,Lima
15326,Comas,Comas_15326,Lima
15327,Comas,Comas_15327,Lima
15328,Comas,Comas_15328,Lima
15004,El Agustino,El Agustino_15004,Lima
15006,El Agustino,El Agustino_15006,Lima
15007,El Agustino,El Agustino_15007,Lima
15022,El Agustino,El Agustino_15022,Lima
15331,Independencia,Independencia_15331,Lima
15332,Independencia,Independencia_15332,Lima
15333,Independencia,Independencia_15333,Lima
15072,Jesús María,Jesús María_15072,Lima
15024,La Molina,La Molina_15024,Lima
15026,La Molina,La Molina_15026,Lima
15033,La Victoria,La Victoria_15033,Lima
15034,La Victoria,La Victoria_15034,Lima
15001,Lima,Lima_15001,Lima
15003,Lima,Lima_15003,Lima
15046,Lima,Lima_15046,Lima
